model,accuracy,precision,recall,f1,roc_auc,cv_f1
logistic_regression_tuned,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8351344145860403,0.6325621429735369
random_forest_tuned,0.7469793887704336,0.5159010600706714,0.7807486631016043,0.6212765957446809,0.8317255178054678,0.6352145084341336
