model,accuracy,precision,recall,f1,roc_auc,average_precision
logistic_regression,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8351344145860403,0.6183128860330439
random_forest,0.757640369580668,0.5338809034907598,0.6951871657754011,0.6039488966318235,0.8211545728913761,0.60144283072073
xgboost,0.7917555081734187,0.6238532110091743,0.5454545454545454,0.5820256776034237,0.8322846079380445,0.6456358590673352
